task_name,arrival_time,start_time,service_time,completion_time,wait_time,turnaround_time
Task-1,0.16741359298168623,0.16741359298168623,4.598475878525942,4.765889471507629,0.0,4.59848
Task-2,0.852489981324547,0.852489981324547,4.066339117421462,4.918829098746009,0.0,4.06634
Task-4,2.290662436028622,2.290662436028622,4.5257914171176115,6.816453853146234,0.0,4.52579
Task-3,1.86742678376528,1.86742678376528,5.499052811680303,7.3664795954455835,0.0,5.49905
Task-5,2.413954277296759,4.765889471507629,5.044977799478976,9.810867270986606,2.35194,7.39691
Task-6,2.772584173701418,4.918829098746009,5.335667019114334,10.254496117860343,2.14624,7.48191
Task-8,5.539651296456411,7.3664795954455835,4.286077973021042,11.652557568466626,1.82683,6.11291
Task-7,4.143598059767291,6.816453853146234,4.86345592460838,11.679909777754613,2.67286,7.53631
Task-9,5.696480362741985,9.810867270986606,4.77844236737481,14.589309638361415,4.11439,8.89283
Task-10,7.738839906303236,10.254496117860343,4.588429409782388,14.84292552764273,2.51566,7.10409
Task-12,10.101195237551552,11.679909777754613,4.605064386138136,16.28497416389275,1.57871,6.18378
Task-11,9.693276010628635,11.652557568466626,5.488688283222166,17.141245851688794,1.95928,7.44797
Task-14,12.54616898094184,14.84292552764273,4.940597238701793,19.783522766344525,2.29676,7.23735
Task-13,11.163504377237183,14.589309638361415,5.880653282978722,20.469962921340137,3.42581,9.30646
Task-15,13.718250200916394,16.28497416389275,5.8163963384710895,22.10137050236384,2.56672,8.38312
Task-16,13.916599501379821,17.141245851688794,5.202812123551541,22.344057975240336,3.22465,8.42746
Task-17,14.70981578938717,19.783522766344525,4.076113998799595,23.85963676514412,5.07371,9.14982
Task-19,14.824656158851585,22.10137050236384,4.603073053804897,26.704443556168734,7.27671,11.87979
Task-18,14.721849313715651,20.469962921340137,6.725972661311966,27.195935582652105,5.74811,12.47409
Task-20,14.934367553401442,22.344057975240336,5.50105666710265,27.845114642342985,7.40969,12.91075
Task-21,15.267461330181325,23.85963676514412,5.342144792059864,29.201781557203986,8.59218,13.93432
Task-22,15.481991497728282,26.704443556168734,4.849357164057007,31.55380072022574,11.22245,16.07181
