task_name,arrival_time,start_time,service_time,completion_time,wait_time,turnaround_time
Task-85,130.76598951049112,130.76598951049112,5.3635455765569375,136.12953508704805,0.0,5.36355
Task-86,132.15074145253266,132.71807271683133,5.395578290017032,138.11365100684836,0.56733,5.96291
Task-87,134.3624884806413,134.3624884806413,4.9509930856669415,139.31348156630824,0.0,4.95099
Task-88,136.78536374921842,136.78536374921842,4.608147572685419,141.39351132190384,0.0,4.60815
Task-89,139.05169529691102,139.05169529691102,5.5555479211943775,144.6072432181054,0.0,5.55555
Task-90,141.90555090905923,141.90555090905923,5.511242353530669,147.4167932625899,0.0,5.51124
Task-92,143.54602169583663,143.54602169583663,4.793229606336221,148.33925130217284,0.0,4.79323
Task-91,143.37094474035464,143.37094474035464,5.540132148308429,148.91107688866308,0.0,5.54013
Task-93,143.70993674494736,144.6072432181054,5.015937240176232,149.62318045828164,0.89731,5.91324
Task-94,144.24766156549435,147.4167932625899,5.117556168907162,152.53434943149705,3.16913,8.28669
Task-96,146.80672481718068,148.91107688866308,4.874771356707496,153.78584824537057,2.10435,6.97912
Task-95,145.5789967008687,148.33925130217284,5.630097144189327,153.96934844636218,2.76025,8.39035
Task-97,147.22672289571267,149.62318045828164,4.7877108322012685,154.4108912904829,2.39646,7.18417
Task-98,148.9891435066452,152.53434943149705,5.269405844741732,157.80375527623877,3.54521,8.81461
Task-100,153.23961072259826,153.96934844636218,4.448370213008012,158.4177186593702,0.72974,5.17811
Task-99,150.54821745651734,153.78584824537057,4.88114141899215,158.66698966436272,3.23763,8.11877
Task-101,153.76822143256774,154.4108912904829,5.898635770607961,160.30952706109088,0.64267,6.54131
Task-102,154.51809652033117,157.80375527623877,5.248033584294305,163.05178886053307,3.28566,8.53369
Task-103,155.02957199049223,158.4177186593702,4.936902805985379,163.35462146535556,3.38815,8.32505
Task-104,156.16376370449944,158.66698966436272,4.767252443285379,163.4342421076481,2.50323,7.27048
Task-105,156.1643437360896,160.30952706109088,5.0361091019350015,165.3456361630259,4.14518,9.18129
Task-107,157.45016596608409,163.35462146535556,4.705079136121939,168.05970060147752,5.90446,10.60953
Task-108,158.68940072767384,163.4342421076481,4.858067225017342,168.29230933266544,4.74484,9.60291
Task-106,156.64741923849016,163.05178886053307,5.658356889364971,168.71014574989803,6.40437,12.06273
Task-109,160.96048167863773,165.3456361630259,4.136815124648898,169.4824512876748,4.38515,8.52197
Task-111,163.98095225065603,168.29230933266544,4.922089729576593,173.21439906224202,4.31136,9.23345
Task-110,161.54369792041754,168.05970060147752,5.259270846428659,173.31897144790616,6.516,11.77527
Task-112,164.08897572643636,168.71014574989803,5.81492178738978,174.5250675372878,4.62117,10.43609
Task-113,164.85353051390618,169.4824512876748,5.5497136219288405,175.03216490960364,4.62892,10.17863
Task-115,167.24722001266267,173.31897144790616,5.024190032097597,178.34316148000377,6.07175,11.09594
Task-114,166.27298532560604,173.21439906224202,5.34421136871086,178.55861043095288,6.94141,12.28563
Task-116,167.6467818990144,174.5250675372878,4.97067615330999,179.4957436905978,6.87829,11.84896
Task-117,169.17147086013213,175.03216490960364,5.504218226688466,180.5363831362921,5.86069,11.36491
Task-118,169.24507543143102,178.34316148000377,4.712160383952658,183.05532186395644,9.09809,13.81025
Task-119,169.65452354990217,178.55861043095288,5.039972248790284,183.59858267974317,8.90409,13.94406
Task-120,171.96387515652063,179.4957436905978,5.189211737341173,184.68495542793897,7.53187,12.72108
