task_name,arrival_time,start_time,service_time,completion_time,wait_time,turnaround_time
Task-48,48.20891239986051,48.20891239986051,5.534626735099143,53.743539134959654,0.0,5.53463
Task-50,52.389405468839065,52.389405468839065,4.377488403498311,56.76689387233738,0.0,4.37749
Task-49,52.071810036169765,52.071810036169765,5.676726135519453,57.74853617168922,0.0,5.67673
Task-51,54.60688451917876,54.60688451917876,6.045903092011713,60.652787611190476,0.0,6.0459
Task-52,55.486309651020406,55.486309651020406,5.285925724962086,60.77223537598249,0.0,5.28593
Task-53,57.068402928373686,57.068402928373686,5.133279224181969,62.201682152555655,0.0,5.13328
Task-54,57.17715827276761,57.17715827276761,5.866272284544105,63.043430557311716,0.0,5.86627
Task-55,59.212477960206655,59.212477960206655,4.8143750462231,64.02685300642976,0.0,4.81438
Task-56,62.51594316225319,62.51594316225319,4.316778178035029,66.83272134028822,0.0,4.31678
Task-57,64.51966327194148,64.51966327194148,4.5672124990132605,69.08687577095475,0.0,4.56721
Task-58,64.84244159019897,64.84244159019897,5.346604747442847,70.18904633764183,0.0,5.3466
Task-59,65.3865575027087,65.3865575027087,5.233659086206425,70.62021658891513,0.0,5.23366
Task-61,66.17948330306108,66.17948330306108,5.46368184738473,71.64316515044581,0.0,5.46368
Task-60,66.06970699235588,66.06970699235588,5.826719491591875,71.89642648394775,0.0,5.82672
Task-62,67.0019894735756,67.0019894735756,5.590784935508038,72.59277440908365,0.0,5.59078
Task-63,67.73380843202469,69.08687577095475,5.073503553475995,74.16037932443075,1.35307,6.42657
Task-64,68.65426359507,70.18904633764183,4.635035956851382,74.82408229449321,1.53478,6.16982
Task-66,70.9907521928193,71.64316515044581,4.381787643993412,76.02495279443922,0.65241,5.0342
Task-65,69.5466987341964,70.62021658891513,5.599055188510175,76.2192717774253,1.07352,6.67257
Task-67,71.49120694692576,71.89642648394775,5.70814292632385,77.6045694102716,0.40522,6.11336
Task-68,72.85499557597363,72.85499557597363,5.4942018906925485,78.34919746666618,0.0,5.4942
Task-70,74.7005861094555,74.82408229449321,3.8359589772419995,78.66004127173521,0.1235,3.95946
Task-69,73.59474264190641,74.16037932443075,5.9557552343811695,80.11613455881192,0.56564,6.52139
Task-71,76.59391385010423,76.59391385010423,4.951361886768521,81.54527573687275,0.0,4.95136
Task-72,77.01558414268241,77.01558414268241,5.318579077670468,82.33416322035288,0.0,5.31858
Task-73,77.62845093177073,77.62845093177073,5.059802374661101,82.68825330643183,0.0,5.0598
Task-74,79.10165007634387,79.10165007634387,4.295955842464072,83.39760591880794,0.0,4.29596
Task-75,79.6146795816288,79.6146795816288,5.459173671640524,85.07385325326933,0.0,5.45917
Task-76,81.47720392870826,81.47720392870826,6.256333671151325,87.73353759985959,0.0,6.25633
Task-77,82.43536597342721,82.43536597342721,5.313710834369306,87.74907680779651,0.0,5.31371
Task-78,82.69358105826133,82.69358105826133,5.174095332099162,87.86767639036049,0.0,5.1741
Task-79,83.97350181866672,83.97350181866672,4.56395355961329,88.53745537828001,0.0,4.56395
Task-80,84.66105008852197,84.66105008852197,5.273937793168782,89.93498788169076,0.0,5.27394
Task-81,84.9685001219461,85.07385325326933,5.5817405532778785,90.65559380654722,0.10535,5.68709
Task-84,87.59797532173961,87.86767639036049,4.7124606818276495,92.58013707218814,0.2697,4.98216
Task-82,86.60786903037416,87.73353759985959,5.39076873132736,93.12430633118694,1.12567,6.51644
Task-83,86.72606783031274,87.74907680779651,5.4769910289008426,93.22606783669735,1.02301,6.5
Task-85,89.99300828192317,89.99300828192317,4.126389675566058,94.11939795748923,0.0,4.12639
Task-86,90.21442783549699,90.21442783549699,4.888955289041436,95.10338312453842,0.0,4.88896
Task-87,92.30945460333626,92.30945460333626,5.04667845021301,97.35613305354927,0.0,5.04668
Task-88,93.5678417091425,93.5678417091425,4.588794114414724,98.15663582355722,0.0,4.58879
Task-89,96.10942444000598,96.10942444000598,4.128545728762929,100.23797016876891,0.0,4.12855
Task-90,96.19521285729762,96.19521285729762,4.616155261408979,100.8113681187066,0.0,4.61616
Task-91,97.29639242163792,97.29639242163792,4.332100128787162,101.62849255042508,0.0,4.3321
Task-93,99.33094537614654,99.33094537614654,5.09937688938089,104.43032226552744,0.0,5.09938
Task-92,99.08763981075663,99.08763981075663,5.49509404056852,104.58273385132514,0.0,5.49509
Task-94,100.13218157792495,100.13218157792495,5.186157710080299,105.31833928800525,0.0,5.18616
Task-95,102.01543005478199,102.01543005478199,5.353412359337899,107.36884241411988,0.0,5.35341
Task-96,104.21009517971042,104.21009517971042,4.7600581954020145,108.97015337511243,0.0,4.76006
Task-97,104.67249340651169,104.67249340651169,5.037683592800566,109.71017699931225,0.0,5.03768
Task-98,107.84475029891631,107.84475029891631,5.494963671261633,113.33971397017794,0.0,5.49496
Task-99,111.80864702992643,111.80864702992643,4.169966380081023,115.97861341000745,0.0,4.16997
Task-100,112.45441019603558,112.45441019603558,5.668468422906953,118.12287861894254,0.0,5.66847
Task-101,113.38098256924938,113.38098256924938,4.930060641344095,118.31104321059348,0.0,4.93006
Task-104,115.04422088420368,115.04422088420368,4.012854999370431,119.05707588357411,0.0,4.01285
Task-103,114.47119311841728,114.47119311841728,5.116621249693923,119.5878143681112,0.0,5.11662
Task-102,114.41652417997338,114.41652417997338,5.202652857381889,119.61917703735527,0.0,5.20265
Task-105,115.1034888025581,115.97861341000745,6.136437272937481,122.11505068294494,0.87512,7.01156
Task-107,116.40924280365104,118.31104321059348,4.554128799390666,122.86517200998415,1.9018,6.45593
Task-106,115.26351686336513,118.12287861894254,4.973348605318055,123.09622722426059,2.85936,7.83271
Task-110,119.73377154591205,119.73377154591205,4.3371581538275334,124.07092969973958,0.0,4.33716
Task-108,117.71031589424132,119.05707588357411,5.223795396146959,124.28087127972107,1.34676,6.57056
Task-109,118.96072429624223,119.5878143681112,5.48311292355332,125.07092729166452,0.62709,6.1102
Task-111,122.65751412753937,122.65751412753937,5.326539167640482,127.98405329517985,0.0,5.32654
Task-112,123.80108736948056,123.80108736948056,5.2076796968838766,129.00876706636444,0.0,5.20768
Task-113,124.24479890721628,124.24479890721628,5.2655461967808765,129.51034510399717,0.0,5.26555
Task-114,125.55554189665703,125.55554189665703,5.270523151842453,130.8260650484995,0.0,5.27052
Task-115,126.47565359144288,126.47565359144288,5.253761602709269,131.72941519415215,0.0,5.25376
Task-117,126.80288099997559,127.98405329517985,4.527834184363185,132.51188747954302,1.18117,5.70901
Task-116,126.67561554031631,126.67561554031631,6.245377074155044,132.92099261447134,0.0,6.24538
Task-118,127.29300756930266,129.00876706636444,4.575587934079547,133.584355000444,1.71576,6.29135
Task-119,127.81653719337615,129.51034510399717,4.999665306664677,134.51001041066183,1.69381,6.69347
Task-120,129.00863101750153,130.8260650484995,4.890669630695975,135.71673467919547,1.81743,6.7081
Task-121,129.10940573059912,131.72941519415215,5.1727886805836185,136.90220387473576,2.62001,7.7928
Task-122,131.2219039286635,132.51188747954302,5.4536511199205195,137.96553859946354,1.28998,6.74363
Task-123,135.46493573521053,135.46493573521053,4.3967509822497695,139.8616867174603,0.0,4.39675
Task-125,135.67008721593962,135.67008721593962,4.898334313652769,140.5684215295924,0.0,4.89833
Task-126,135.67475913844592,135.71673467919547,5.386457775041818,141.10319245423727,0.04198,5.42843
Task-124,135.48554746663507,135.48554746663507,5.844503789767965,141.33005125640304,0.0,5.8445
Task-127,138.0301654912786,138.0301654912786,4.295200861675001,142.3253663529536,0.0,4.2952
Task-128,141.1472002659478,141.1472002659478,4.631053100415575,145.77825336636337,0.0,4.63105
Task-129,141.34783249056986,141.34783249056986,5.884192139024571,147.23202462959443,0.0,5.88419
Task-131,144.257597097524,144.257597097524,4.144433222402644,148.40203031992667,0.0,4.14443
Task-130,143.40431634798637,143.40431634798637,5.3959461629667285,148.8002625109531,0.0,5.39595
Task-132,144.41876371139227,144.41876371139227,4.772009995212762,149.19077370660503,0.0,4.77201
Task-133,147.589596548739,147.589596548739,4.4306944698039095,152.0202910185429,0.0,4.43069
Task-134,148.01892517092483,148.01892517092483,4.994918380631788,153.01384355155662,0.0,4.99492
Task-135,150.3238189486109,150.3238189486109,5.8133345959853795,156.13715354459626,0.0,5.81333
Task-136,156.25396476475407,156.25396476475407,4.94945897471533,161.2034237394694,0.0,4.94946
Task-139,157.82855841188052,157.82855841188052,3.542660848533216,161.37121926041374,0.0,3.54266
Task-137,156.7463708159747,156.7463708159747,4.781394751236996,161.5277655672117,0.0,4.78139
Task-138,157.5548432058171,157.5548432058171,5.3356250598286294,162.89046826564572,0.0,5.33563
Task-140,158.34655081176308,158.34655081176308,6.106662925379055,164.45321373714214,0.0,6.10666
Task-141,160.88643730912594,160.88643730912594,5.050585243748956,165.9370225528749,0.0,5.05059
Task-143,161.37691973854479,161.37691973854479,4.799910536804113,166.1768302753489,0.0,4.79991
Task-142,160.99044359784597,161.2034237394694,5.055185646673464,166.25860938614287,0.21298,5.26817
Task-144,162.1360479353702,162.1360479353702,4.720834338969666,166.85688227433985,0.0,4.72083
Task-145,162.3603572754763,162.89046826564572,4.888112810491561,167.77858107613727,0.53011,5.41822
Task-146,162.58105571319976,164.45321373714214,4.226430509725466,168.6796442468676,1.87216,6.09859
Task-148,166.40863021358265,166.40863021358265,5.024658085154099,171.43328829873676,0.0,5.02466
Task-147,165.46788479841254,165.9370225528749,6.013416081177318,171.95043863405223,0.46914,6.48255
Task-149,167.60894854928893,167.60894854928893,4.5989489567594735,172.2078975060484,0.0,4.59895
Task-150,170.54226684307395,170.54226684307395,5.102212433979987,175.64447927705393,0.0,5.10221
Task-151,172.84761920944507,172.84761920944507,5.03087194091967,177.87849115036474,0.0,5.03087
Task-153,174.55273172814012,174.55273172814012,4.540054884403226,179.09278661254334,0.0,4.54005
Task-152,174.19183944341867,174.19183944341867,5.025036799030665,179.21687624244933,0.0,5.02504
Task-155,175.24767624742586,175.24767624742586,4.188189054303114,179.43586530172897,0.0,4.18819
Task-154,175.01607586089492,175.01607586089492,5.122356046394251,180.13843190728917,0.0,5.12236
Task-156,177.79983021741728,177.79983021741728,5.445900374157056,183.24573059157433,0.0,5.4459
Task-157,180.38096898823935,180.38096898823935,4.343152210702319,184.72412119894167,0.0,4.34315
Task-158,182.19981589674865,182.19981589674865,4.845889011077164,187.0457049078258,0.0,4.84589
Task-159,184.33641877850735,184.33641877850735,5.136131742645685,189.47255052115304,0.0,5.13613
Task-160,186.3296340305037,186.3296340305037,5.2790485248062495,191.60868255530997,0.0,5.27905
Task-161,188.43896624991424,188.43896624991424,4.8769548420647055,193.31592109197896,0.0,4.87695
Task-162,189.61105692424425,189.61105692424425,4.974723138406487,194.58578006265074,0.0,4.97472
Task-163,189.93690713175155,189.93690713175155,4.7050529965518,194.64196012830337,0.0,4.70505
Task-164,190.92184373422555,190.92184373422555,5.179896050420492,196.10173978464604,0.0,5.1799
Task-165,191.5180969063625,191.5180969063625,4.987959569693199,196.5060564760557,0.0,4.98796
Task-166,192.53309548509208,192.53309548509208,5.511661782247419,198.0447572673395,0.0,5.51166
Task-167,192.92966809615584,193.31592109197896,5.613779470537029,198.929700562516,0.38625,6.00003
Task-168,194.071936393713,194.58578006265074,4.570421016278444,199.15620107892917,0.51384,5.08426
Task-169,194.84036780661515,194.84036780661515,5.093544809894019,199.93391261650916,0.0,5.09354
Task-171,195.0911602291496,196.5060564760557,3.86025139746254,200.36630787351825,1.4149,5.27515
Task-170,194.95520873331918,196.10173978464604,4.9701034166968565,201.0718432013429,1.14653,6.11663
Task-172,200.50791508863134,200.50791508863134,4.424154059295982,204.9320691479273,0.0,4.42415
Task-173,202.14992326831748,202.14992326831748,4.239628285209844,206.38955155352733,0.0,4.23963
Task-174,202.72636988594763,202.72636988594763,4.66210563491166,207.3884755208593,0.0,4.66211
Task-176,203.1508984655054,203.1508984655054,4.839164414928221,207.99006288043364,0.0,4.83916
Task-177,203.56845765131027,203.56845765131027,4.889917954722408,208.4583756060327,0.0,4.88992
Task-175,202.76828821749217,202.76828821749217,6.147921477482015,208.91620969497419,0.0,6.14792
Task-178,204.60166196284842,204.9320691479273,4.233350133918898,209.1654192818462,0.33041,4.56376
Task-179,204.94669860803901,206.38955155352733,4.5102676776303605,210.8998192311577,1.44285,5.95312
Task-180,205.5245041172653,207.3884755208593,5.055274727024701,212.443750247884,1.86397,6.91925
Task-181,207.57506524413049,207.99006288043364,4.834100401179701,212.82416328161335,0.415,5.2491
Task-182,207.7298067902374,208.4583756060327,5.122540475842039,213.58091608187473,0.72857,5.85111
Task-183,211.05895902656897,211.05895902656897,4.8701829123997955,215.92914193896877,0.0,4.87018
Task-184,213.75904944475624,213.75904944475624,4.630801403831948,218.3898508485882,0.0,4.6308
Task-186,214.69579533868136,214.69579533868136,4.364299369502471,219.06009470818384,0.0,4.3643
Task-187,214.8232220800495,214.8232220800495,5.173087530925732,219.99630961097523,0.0,5.17309
Task-185,213.86863286208288,213.86863286208288,6.163339476155234,220.03197233823812,0.0,6.16334
Task-188,215.65250692261432,215.65250692261432,4.828642406900935,220.48114932951526,0.0,4.82864
Task-189,216.6097474994191,216.6097474994191,5.147500883078289,221.75724838249738,0.0,5.1475
Task-190,217.7582262251603,218.3898508485882,4.520774588460712,222.9106254370489,0.63162,5.1524
Task-191,222.17919991911694,222.17919991911694,5.048868921238553,227.2280688403555,0.0,5.04887
Task-193,222.50137830017525,222.50137830017525,4.8844222898751815,227.38580059005042,0.0,4.88442
Task-192,222.34541734813482,222.34541734813482,5.142426037686274,227.4878433858211,0.0,5.14243
Task-194,225.92390166334314,225.92390166334314,4.43455657384148,230.35845823718464,0.0,4.43456
Task-195,227.5609702046821,227.5609702046821,5.046048220105189,232.60701842478727,0.0,5.04605
Task-197,229.3157630807641,229.3157630807641,4.88383019903323,234.19959327979734,0.0,4.88383
Task-196,228.8012122785598,228.8012122785598,5.450895491376789,234.2521077699366,0.0,5.4509
Task-198,232.16102733446942,232.16102733446942,4.921304730974649,237.08233206544406,0.0,4.9213
Task-199,233.48321811058236,233.48321811058236,4.751726354804538,238.2349444653869,0.0,4.75173
Task-200,233.93508365296827,233.93508365296827,4.677851449433024,238.6129351024013,0.0,4.67785
Task-201,235.219932910974,235.219932910974,5.358581878899893,240.57851478987388,0.0,5.35858
Task-202,235.43184610393493,235.43184610393493,5.175190033394255,240.60703613732917,0.0,5.17519
Task-204,238.26258099055886,238.26258099055886,4.034727195847691,242.29730818640655,0.0,4.03473
Task-203,237.73798078149454,237.73798078149454,5.157050463691479,242.89503124518603,0.0,5.15705
Task-205,238.41495332414024,238.41495332414024,5.1117002066373844,243.52665353077762,0.0,5.1117
Task-206,238.7720859076624,238.7720859076624,5.052580895168228,243.82466680283062,0.0,5.05258
Task-208,239.50191604358858,240.60703613732917,5.197117055344398,245.80415319267357,1.10512,6.30224
